Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/13/26 	_aarch64_	(16 CPU)

19:31:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:42     all   10.11    0.00    6.97    0.00    0.00    2.01    0.00    0.00    0.00   80.92
19:31:42       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42       1    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:42       2    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:42       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:42       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:42       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42       6   30.34    0.00   12.36    0.00    0.00   35.96    0.00    0.00    0.00   21.35
19:31:42       7   25.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   73.74
19:31:42       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42      10    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:42      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:42      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42      13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:42      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42      15    7.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

19:31:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:43     all   10.76    0.00   10.63    0.00    0.00    0.45    0.00    0.00    0.00   78.17
19:31:43       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:43       1    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
19:31:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:43       3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:43       4    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:43       5    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:31:43       6    1.49    0.00    1.49    0.00    0.00   10.45    0.00    0.00    0.00   86.57
19:31:43       7   32.00    0.00   57.00    0.00    0.00    0.00    0.00    0.00    0.00   11.00
19:31:43       8    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
19:31:43       9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:43      10   10.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
19:31:43      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:43      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:43      13    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:43      14   12.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
19:31:43      15    7.07    0.00   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00

19:31:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:44     all    9.69    0.00    7.61    0.00    0.00    2.33    0.00    0.00    0.00   80.37
19:31:44       0    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:31:44       1    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
19:31:44       2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:44       3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:44       5    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:44       6   32.26    0.00   11.83    0.00    0.00   38.71    0.00    0.00    0.00   17.20
19:31:44       7    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
19:31:44       8    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:44       9    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:31:44      10    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
19:31:44      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:44      12    7.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
