Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/13/26 	_aarch64_	(16 CPU)

19:05:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:05:43     all    6.16    0.00    2.16    0.00    0.00    0.70    0.00    0.00    0.00   90.98
19:05:43       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:05:43       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:43       3    0.00    0.00   21.65    0.00    0.00    3.09    0.00    0.00    0.00   75.26
19:05:43       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:05:43       5    0.00    0.00    0.00    0.00    0.00    1.03    0.00    0.00    0.00   98.97
19:05:43       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:43       7    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
19:05:43       8    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:05:43       9    0.00    0.00    4.26    0.00    0.00    1.06    0.00    0.00    0.00   94.68
19:05:43      10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:05:43      11   94.06    0.00    0.00    0.00    0.00    5.94    0.00    0.00    0.00    0.00
19:05:43      12    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   96.91
19:05:43      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:05:43      14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:05:43      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:05:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:05:44     all    6.17    0.00    1.85    0.00    0.00    0.70    0.00    0.00    0.00   91.28
19:05:44       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44       3    1.01    0.00   10.10    0.00    0.00    3.03    0.00    0.00    0.00   85.86
19:05:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44       5    0.00    0.00    6.25    0.00    0.00    2.08    0.00    0.00    0.00   91.67
19:05:44       6    1.02    0.00   10.20    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:05:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44      11   95.96    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00
19:05:44      12    0.00    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   96.88
19:05:44      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:44      15    0.00    0.00    0.00    0.00    0.00    1.03    0.00    0.00    0.00   98.97

19:05:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:05:45     all    6.40    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   90.81
19:05:45       0    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:05:45       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:45       2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:05:45       3    0.00    0.00   21.51    0.00    0.00    3.23    0.00    0.00    0.00   75.27
19:05:45       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:45       5    1.02    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   94.90
19:05:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:45       7    1.01    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   93.94
19:05:45       8    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:05:45       9    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
19:05:45      10    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:05:45      11   95.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00
19:05:45      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:45      13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:05:45      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:05:45      15    0.00    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   96.88

19:05:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:05:46     all    6.16    0.00    2.10    0.00    0.00    0.57    0.00    0.00    0.00   91.17
