Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/08/26 	_aarch64_	(16 CPU)

19:21:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:21:04     all    6.24    0.00    7.50    0.00    0.00    2.79    0.00    0.00    0.00   83.47
19:21:04       0    1.06    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   94.68
19:21:04       1    2.41    0.00   12.05    0.00    0.00    8.43    0.00    0.00    0.00   77.11
19:21:04       2    0.00    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   93.81
19:21:04       3    0.00    0.00    9.20    0.00    0.00    2.30    0.00    0.00    0.00   88.51
19:21:04       4    0.99    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00   89.11
19:21:04       5    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
19:21:04       6    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:21:04       7    1.08    0.00   11.83    0.00    0.00    3.23    0.00    0.00    0.00   83.87
19:21:04       8    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
19:21:04       9    0.00    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00   92.55
19:21:04      10    1.11    0.00    6.67    0.00    0.00    3.33    0.00    0.00    0.00   88.89
19:21:04      11   83.17    0.00    0.99    0.00    0.00   15.84    0.00    0.00    0.00    0.00
19:21:04      12    1.23    0.00   12.35    0.00    0.00    8.64    0.00    0.00    0.00   77.78
19:21:04      13    0.00    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   92.78
19:21:04      14    1.10    0.00   13.19    0.00    0.00    4.40    0.00    0.00    0.00   81.32
19:21:04      15    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   90.91

19:21:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:21:05     all    6.06    0.00    7.00    0.00    0.00    2.53    0.00    0.00    0.00   84.41
19:21:05       0    1.08    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   92.47
19:21:05       1    0.00    0.00   13.41    0.00    0.00    9.76    0.00    0.00    0.00   76.83
19:21:05       2    1.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
19:21:05       3    0.00    0.00   10.34    0.00    0.00    3.45    0.00    0.00    0.00   86.21
19:21:05       4    0.00    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   91.84
19:21:05       5    0.00    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   95.83
19:21:05       6    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
19:21:05       7    1.08    0.00   11.83    0.00    0.00    2.15    0.00    0.00    0.00   84.95
19:21:05       8    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
19:21:05       9    1.03    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   93.81
19:21:05      10    0.00    0.00    2.22    0.00    0.00    2.22    0.00    0.00    0.00   95.56
19:21:05      11   86.87    0.00    0.00    0.00    0.00   13.13    0.00    0.00    0.00    0.00
19:21:05      12    0.00    0.00   11.25    0.00    0.00    6.25    0.00    0.00    0.00   82.50
19:21:05      13    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   90.91
19:21:05      14    0.00    0.00   10.00    0.00    0.00    4.44    0.00    0.00    0.00   85.56
19:21:05      15    1.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00

19:21:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:21:06     all    6.03    0.00    7.95    0.00    0.00    2.58    0.00    0.00    0.00   83.44
19:21:06       0    2.11    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   88.42
19:21:06       1    0.00    0.00   18.29    0.00    0.00    8.54    0.00    0.00    0.00   73.17
