Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/08/26 	_aarch64_	(16 CPU)

19:59:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:59:14     all   11.17    0.00   10.85    0.00    0.00    0.57    0.00    0.00    0.00   77.41
19:59:14       0    1.04    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   94.79
19:59:14       1   22.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
19:59:14       2    3.03    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   63.64
19:59:14       3    1.39    0.00    2.78    0.00    0.00   12.50    0.00    0.00    0.00   83.33
19:59:14       4    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:59:14       5    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:59:14       6    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
19:59:14       7    3.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
19:59:14       8    7.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:59:14       9   27.27    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   58.59
19:59:14      10    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
19:59:14      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:59:14      12    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:59:14      13    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:59:14      14    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:59:14      15    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99

19:59:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:59:15     all   11.01    0.00    8.64    0.00    0.00    0.77    0.00    0.00    0.00   79.58
19:59:15       0    0.00    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   95.83
19:59:15       1    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
19:59:15       2   27.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   58.00
19:59:15       3   14.08    0.00    1.41    0.00    0.00   16.90    0.00    0.00    0.00   67.61
19:59:15       4    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
19:59:15       5   14.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
19:59:15       6    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
19:59:15       7    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:59:15       8    6.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:59:15       9    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
19:59:15      10    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
19:59:15      11   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
19:59:15      12    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:59:15      13    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:59:15      14    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
19:59:15      15    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00

19:59:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:59:16     all    8.73    0.00    7.71    0.00    0.00    0.26    0.00    0.00    0.00   83.30
19:59:16       0    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83
19:59:16       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:59:16       2    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:59:16       3    4.62    0.00    0.00    0.00    0.00    6.15    0.00    0.00    0.00   89.23
19:59:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:16       5   14.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
19:59:16       6    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:59:16       7    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:59:16       8    7.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:59:16       9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:59:16      10    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
19:59:16      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:59:16      12    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
19:59:16      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:59:16      14    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:59:16      15    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96

19:59:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:59:17     all    6.81    0.00    6.23    0.00    0.00    0.06    0.00    0.00    0.00   86.89
19:59:17       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
19:59:17       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17       3    0.00    0.00    0.00    0.00    0.00    1.61    0.00    0.00    0.00   98.39
19:59:17       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17       8    6.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:59:17       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:59:17      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
