Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/08/26 	_aarch64_	(16 CPU)

19:56:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:56:12     all    7.25    0.00    6.03    0.00    0.00    0.26    0.00    0.00    0.00   86.47
19:56:12       0    1.06    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   96.81
19:56:12       1    4.95    0.00   86.14    0.00    0.00    0.00    0.00    0.00    0.00    8.91
19:56:12       2    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:56:12       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:56:12       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:56:12       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:56:12       6    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:56:12       7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:56:12       8    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:56:12       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:56:12      10    1.52    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   92.42
19:56:12      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:56:12      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:56:12      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:56:12      14    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:56:12      15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

19:56:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:56:13     all    7.11    0.00    6.79    0.00    0.00    0.32    0.00    0.00    0.00   85.78
19:56:13       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
19:56:13       1    6.06    0.00   93.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:56:13       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:56:13       3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:56:13       4    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
