Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/08/26 	_aarch64_	(16 CPU)

18:59:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:39     all    6.38    0.00    2.30    0.00    0.00    0.70    0.00    0.00    0.00   90.62
18:59:39       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
18:59:39       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:39       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:39       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39       5    1.03    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   93.81
18:59:39       6    1.03    0.00   13.40    0.00    0.00    3.09    0.00    0.00    0.00   82.47
18:59:39       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39       9    0.00    0.00    3.19    0.00    0.00    1.06    0.00    0.00    0.00   95.74
18:59:39      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39      11   96.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00
18:59:39      12    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
18:59:39      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:39      15    0.00    0.00    9.38    0.00    0.00    3.12    0.00    0.00    0.00   87.50

18:59:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:40     all    6.52    0.00    2.88    0.00    0.00    0.77    0.00    0.00    0.00   89.83
18:59:40       0    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
18:59:40       1    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
18:59:40       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:40       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:40       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:40       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:40       6    1.06    0.00   15.96    0.00    0.00    1.06    0.00    0.00    0.00   81.91
18:59:40       7    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
18:59:40       8    1.03    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   94.85
18:59:40       9    1.06    0.00   10.64    0.00    0.00    4.26    0.00    0.00    0.00   84.04
18:59:40      10    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
18:59:40      11   95.05    0.00    0.99    0.00    0.00    3.96    0.00    0.00    0.00    0.00
18:59:40      12    0.00    0.00    0.00    0.00    0.00    1.03    0.00    0.00    0.00   98.97
18:59:40      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:40      14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
18:59:40      15    0.00    0.00    4.26    0.00    0.00    1.06    0.00    0.00    0.00   94.68

18:59:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:41     all    6.51    0.00    2.17    0.00    0.00    0.57    0.00    0.00    0.00   90.75
18:59:41       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
18:59:41       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:41       2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:41       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:41       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:41       5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:41       6    1.08    0.00   19.35    0.00    0.00    2.15    0.00    0.00    0.00   77.42
18:59:41       7    0.00    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   97.96
18:59:41       8    1.02    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   91.84
18:59:41       9    0.00    0.00    5.32    0.00    0.00    1.06    0.00    0.00    0.00   93.62
18:59:41      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:41      11   95.96    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00
18:59:41      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:41      13    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:41      14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:41      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:59:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:42     all    6.45    0.00    2.23    0.00    0.00    0.26    0.00    0.00    0.00   91.07
18:59:42       0    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
18:59:42       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42       2    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:42       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:42       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42       7    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
18:59:42       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42       9    1.05    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   94.74
18:59:42      10    1.06    0.00   25.53    0.00    0.00    0.00    0.00    0.00    0.00   73.40
18:59:42      11   97.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00
18:59:42      12    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
18:59:42      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:42      15    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97

18:59:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:43     all    6.33    0.00    2.18    0.00    0.00    0.58    0.00    0.00    0.00   90.91
18:59:43       0    0.00    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   97.87
18:59:43       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:43       2    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
18:59:43       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:43       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:43       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:43       6    1.03    0.00    7.22    0.00    0.00    1.03    0.00    0.00    0.00   90.72
18:59:43       7    0.00    0.00    5.26    0.00    0.00    1.05    0.00    0.00    0.00   93.68
18:59:43       8    0.00    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   94.85
18:59:43       9    0.00    0.00    4.30    0.00    0.00    1.08    0.00    0.00    0.00   94.62
18:59:43      10    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:43      11   96.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00
18:59:43      12    1.03    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   96.91
18:59:43      13    0.00    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   91.75
18:59:43      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:43      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:59:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:44     all    6.29    0.00    2.29    0.00    0.00    0.70    0.00    0.00    0.00   90.72
18:59:44       0    0.00    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   97.87
18:59:44       1    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:44       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:44       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:44       6    1.03    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   93.81
18:59:44       7    1.03    0.00   10.31    0.00    0.00    1.03    0.00    0.00    0.00   87.63
18:59:44       8    0.00    0.00   10.53    0.00    0.00    2.11    0.00    0.00    0.00   87.37
18:59:44       9    0.00    0.00    3.19    0.00    0.00    1.06    0.00    0.00    0.00   95.74
18:59:44      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:44      11   94.00    0.00    1.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00
18:59:44      12    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
18:59:44      13    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:44      14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:44      15    1.04    0.00    4.17    0.00    0.00    1.04    0.00    0.00    0.00   93.75

18:59:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:45     all    6.31    0.00    2.61    0.00    0.00    0.70    0.00    0.00    0.00   90.38
18:59:45       0    0.00    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   96.81
18:59:45       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:45       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:45       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:45       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:45       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:45       6    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
18:59:45       7    0.00    0.00   13.27    0.00    0.00    2.04    0.00    0.00    0.00   84.69
18:59:45       8    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
18:59:45       9    1.04    0.00    5.21    0.00    0.00    2.08    0.00    0.00    0.00   91.67
18:59:45      10    0.00    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   91.84
18:59:45      11   95.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00
18:59:45      12    1.04    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   92.71
18:59:45      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:45      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:45      15    0.00    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   96.88

18:59:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:46     all    6.18    0.00    2.29    0.00    0.00    0.89    0.00    0.00    0.00   90.64
18:59:46       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
18:59:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:46       4    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03
18:59:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:46       6    1.04    0.00   20.83    0.00    0.00    3.12    0.00    0.00    0.00   75.00
18:59:46       7    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
18:59:46       8    0.00    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   96.91
18:59:46       9    0.00    0.00    7.53    0.00    0.00    3.23    0.00    0.00    0.00   89.25
18:59:46      10    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:59:46      11   95.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00
18:59:46      12    0.00    0.00    0.00    0.00    0.00    1.04    0.00    0.00    0.00   98.96
18:59:46      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:46      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:46      15    0.00    0.00    0.00    0.00    0.00    1.05    0.00    0.00    0.00   98.95

18:59:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:47     all    6.76    0.00    2.68    0.00    0.00    0.57    0.00    0.00    0.00   89.99
18:59:47       0    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83
18:59:47       1    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
18:59:47       2    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
18:59:47       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:47       4    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
18:59:47       5    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
18:59:47       6    1.06    0.00   18.09    0.00    0.00    3.19    0.00    0.00    0.00   77.66
18:59:47       7    1.03    0.00    5.15    0.00    0.00    1.03    0.00    0.00    0.00   92.78
18:59:47       8    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
18:59:47       9    1.05    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   97.89
18:59:47      10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:47      11   95.96    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00
18:59:47      12    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
18:59:47      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:47      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:47      15    0.00    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   95.79

18:59:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:48     all    6.50    0.00    2.36    0.06    0.00    0.83    0.00    0.00    0.00   90.25
18:59:48       0    0.00    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   97.85
18:59:48       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:48       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:48       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:48       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:48       5    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
18:59:48       6    1.03    0.00   10.31    0.00    0.00    2.06    0.00    0.00    0.00   86.60
18:59:48       7    0.00    0.00    1.03    1.03    0.00    1.03    0.00    0.00    0.00   96.91
18:59:48       8    1.04    0.00   12.50    0.00    0.00    2.08    0.00    0.00    0.00   84.38
18:59:48       9    0.00    0.00    5.10    0.00    0.00    2.04    0.00    0.00    0.00   92.86
18:59:48      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:48      11   94.12    0.00    0.98    0.00    0.00    4.90    0.00    0.00    0.00    0.00
18:59:48      12    0.00    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   95.92
18:59:48      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:48      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:48      15    1.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.96

18:59:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:49     all    6.21    0.00    1.86    0.00    0.00    0.70    0.00    0.00    0.00   91.23
18:59:49       0    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83
18:59:49       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:49       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:49       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:49       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:49       5    0.00    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   97.96
18:59:49       6    0.00    0.00   11.83    0.00    0.00    1.08    0.00    0.00    0.00   87.10
18:59:49       7    0.00    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   97.96
18:59:49       8    0.00    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   97.92
18:59:49       9    0.00    0.00   10.64    0.00    0.00    2.13    0.00    0.00    0.00   87.23
18:59:49      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:49      11   95.96    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00
18:59:49      12    0.00    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   96.91
18:59:49      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:49      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:49      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:59:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:59:50     all    6.56    0.00    2.55    0.00    0.00    0.70    0.00    0.00    0.00   90.19
18:59:50       0    0.00    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   98.91
18:59:50       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:50       2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
18:59:50       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:59:50       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:59:50       5    1.02    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   96.94
18:59:50       6    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
