Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/08/26 	_aarch64_	(16 CPU)

20:02:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:16     all    6.93    0.00    2.10    0.00    0.00    0.13    0.00    0.00    0.00   90.84
20:02:16       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
20:02:16       1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:16       2    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
20:02:16       3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
20:02:16       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:16       5    1.12    0.00    0.00    0.00    0.00    2.25    0.00    0.00    0.00   96.63
20:02:16       6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:16       7    0.00    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   97.87
20:02:16       8    0.98    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   97.06
20:02:16       9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
20:02:16      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:16      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:02:16      12    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
20:02:16      13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
20:02:16      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:16      15    1.09    0.00   20.65    0.00    0.00    0.00    0.00    0.00    0.00   78.26

20:02:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:17     all    6.39    0.00    1.53    0.00    0.00    0.06    0.00    0.00    0.00   92.01
20:02:17       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
20:02:17       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
20:02:17       5    0.00    0.00    1.14    0.00    0.00    1.14    0.00    0.00    0.00   97.73
20:02:17       6    0.00    0.00   17.20    0.00    0.00    0.00    0.00    0.00    0.00   82.80
20:02:17       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17       8    0.00    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   96.88
20:02:17       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:02:17      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:17      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:02:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:18     all    6.78    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   91.55
20:02:18       0    1.04    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   94.79
20:02:18       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18       2    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
20:02:18       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:18       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18       6    1.10    0.00   19.78    0.00    0.00    0.00    0.00    0.00    0.00   79.12
20:02:18       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18       9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
20:02:18      10    1.06    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   97.87
20:02:18      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:02:18      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:18      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:02:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:19     all    6.51    0.00    1.53    0.00    0.00    0.13    0.00    0.00    0.00   91.83
20:02:19       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
20:02:19       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19       5    0.00    0.00    1.12    0.00    0.00    1.12    0.00    0.00    0.00   97.75
20:02:19       6    1.08    0.00   21.51    0.00    0.00    0.00    0.00    0.00    0.00   77.42
20:02:19       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19       8    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:19       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19      10    0.00    0.00    0.00    0.00    0.00    1.08    0.00    0.00    0.00   98.92
20:02:19      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:02:19      12    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
20:02:19      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:19      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:02:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:20     all    6.39    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   92.14
20:02:20       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
20:02:20       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       6    0.00    0.00   21.74    0.00    0.00    0.00    0.00    0.00    0.00   78.26
20:02:20       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:02:20      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:02:20      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
