Linux 6.8.0-1013-bluefield-64k (bench-client-vpc) 	05/08/26 	_aarch64_	(16 CPU)

19:31:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:42     all    8.29    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   89.96
19:31:42       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
19:31:42       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:42       4    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:42       5   26.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
19:31:42       6    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
19:31:42       7    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:42       8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:42       9    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
19:31:42      10    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:42      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:42      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:42      13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:42      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:42      15    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02

19:31:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:43     all    9.69    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   87.92
19:31:43       0    0.00    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   98.92
19:31:43       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:43       2    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:43       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:43       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:43       5   26.26    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   53.54
19:31:43       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:43       7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:31:43       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:43       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:43      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:43      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:43      12   26.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
19:31:43      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:43      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:43      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:31:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:44     all   10.42    0.00    3.68    0.00    0.00    0.06    0.00    0.00    0.00   85.83
19:31:44       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
19:31:44       1    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:44       2    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
19:31:44       3    1.14    0.00    1.14    0.00    0.00    0.00    0.00    0.00    0.00   97.73
19:31:44       4   29.17    0.00   21.88    0.00    0.00    0.00    0.00    0.00    0.00   48.96
19:31:44       5    2.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
19:31:44       6    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:44       8   26.26    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   60.61
19:31:44       9    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
19:31:44      10    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
19:31:44      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:44      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:44      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:44      14    0.00    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   97.94
19:31:44      15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

19:31:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:45     all   10.76    0.00    3.65    0.00    0.00    0.19    0.00    0.00    0.00   85.40
19:31:45       0    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
19:31:45       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:45       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:45       3    0.00    0.00    1.16    0.00    0.00    1.16    0.00    0.00    0.00   97.67
19:31:45       4    1.09    0.00   18.48    0.00    0.00    0.00    0.00    0.00    0.00   80.43
19:31:45       5    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
19:31:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:45       7   36.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00
19:31:45       8    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:31:45       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:45      10   24.75    0.00   14.85    0.00    0.00    0.00    0.00    0.00    0.00   60.40
19:31:45      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:45      12    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:31:45      13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:45      14    0.00    0.00    1.05    0.00    0.00    2.11    0.00    0.00    0.00   96.84
19:31:45      15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

19:31:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:46     all   11.15    0.00    5.64    0.00    0.00    0.32    0.00    0.00    0.00   82.88
19:31:46       0    0.00    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   95.83
19:31:46       1   11.11    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   86.87
19:31:46       2    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:31:46       3    1.15    0.00    3.45    0.00    0.00    4.60    0.00    0.00    0.00   90.80
19:31:46       4   15.96    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   75.53
19:31:46       5    2.08    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   88.54
19:31:46       6    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
19:31:46       7   18.18    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   69.70
19:31:46       8    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
19:31:46       9    1.98    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   94.06
19:31:46      10    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
19:31:46      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:46      12    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:31:46      13    4.08    0.00   33.67    0.00    0.00    0.00    0.00    0.00    0.00   62.24
19:31:46      14   11.46    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   85.42
19:31:46      15    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00

19:31:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:47     all   10.10    0.00    4.26    0.00    0.00    0.32    0.00    0.00    0.00   85.32
19:31:47       0    1.06    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   96.81
19:31:47       1    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
19:31:47       2    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:47       3    1.15    0.00    2.30    0.00    0.00    4.60    0.00    0.00    0.00   91.95
19:31:47       4   13.54    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   59.38
19:31:47       5    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
19:31:47       6    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
19:31:47       7   27.55    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   54.08
19:31:47       8    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
19:31:47       9    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:31:47      10    1.96    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   97.06
19:31:47      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:47      12    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
19:31:47      13    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
19:31:47      14    1.04    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   96.88
19:31:47      15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99

19:31:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:48     all    7.55    0.00    1.98    0.00    0.00    0.13    0.00    0.00    0.00   90.33
19:31:48       0    0.00    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   96.84
19:31:48       1    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:31:48       2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:48       3    1.18    0.00    9.41    0.00    0.00    1.18    0.00    0.00    0.00   88.24
19:31:48       4    1.10    0.00    8.79    0.00    0.00    0.00    0.00    0.00    0.00   90.11
19:31:48       5    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
19:31:48       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:31:48       7    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:31:48       8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:48       9    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
19:31:48      10    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:31:48      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:31:48      12    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:48      13    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
19:31:48      14    1.03    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   95.88
19:31:48      15    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00

19:31:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:31:49     all    6.25    0.00    1.59    0.00    0.00    0.45    0.00    0.00    0.00   91.71
