Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:59:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:59:01     all    4.69    0.00    4.41    0.25    0.00    1.19    0.00    0.00    0.00   89.45
00:59:01       0    6.33    0.00    2.53    1.27    0.00    0.00    0.00    0.00    0.00   89.87
00:59:01       1    5.26    0.00    1.05    1.05    0.00    0.00    0.00    0.00    0.00   92.63
00:59:01       2    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
00:59:01       3    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
00:59:01       4    7.07    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   81.82
00:59:01       5    1.98    0.00    7.92    0.00    0.00   27.72    0.00    0.00    0.00   62.38
00:59:01       6    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
00:59:01       7    7.14    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   86.73
00:59:01       8    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
00:59:01       9    2.04    0.00   10.20    0.00    0.00    4.08    0.00    0.00    0.00   83.67
00:59:01      10    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
00:59:01      11    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:59:01      12    3.06    0.00    2.04    1.02    0.00    1.02    0.00    0.00    0.00   92.86
00:59:01      13    9.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
00:59:01      14    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:59:01      15    5.10    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   85.71
00:59:01      16    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:59:01      17    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:59:01      18    5.05    0.00    1.01    1.01    0.00    1.01    0.00    0.00    0.00   91.92
00:59:01      19    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:59:01      20    5.15    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   90.72
00:59:01      21    3.03    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   93.94
00:59:01      22    7.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
00:59:01      23    3.06    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   89.80
00:59:01      24   11.00    0.00   16.00    0.00    0.00    1.00    0.00    0.00    0.00   72.00
00:59:01      25    4.04    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   93.94
00:59:01      26    3.96    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   93.07
00:59:01      27    5.00    0.00    4.00    1.00    0.00    1.00    0.00    0.00    0.00   89.00
00:59:01      28    5.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:59:01      29    5.10    0.00   10.20    0.00    0.00    2.04    0.00    0.00    0.00   82.65
00:59:01      30    5.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
00:59:01      31    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:59:01      32    6.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:59:01      33    3.16    0.00   17.89    0.00    0.00    6.32    0.00    0.00    0.00   72.63
00:59:01      34    4.00    0.00    4.00    1.00    0.00    1.00    0.00    0.00    0.00   90.00
00:59:01      35    3.92    0.00    4.90    0.98    0.00    1.96    0.00    0.00    0.00   88.24
00:59:01      36    3.06    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   94.90
00:59:01      37   13.27    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   62.24
00:59:01      38    4.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
00:59:01      39    3.06    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   94.90
00:59:01      40    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
00:59:01      41    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
00:59:01      42    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:59:01      43    5.05    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   91.92
00:59:01      44    4.08    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   91.84
00:59:01      45    5.05    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   88.89
00:59:01      46    3.03    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   92.93
00:59:01      47    4.04    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   93.94

00:59:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:59:02     all    3.27    0.00    3.42    0.09    0.00    1.13    0.00    0.00    0.00   92.09
00:59:02       0    5.00    0.00    5.00    0.00    0.00    1.25    0.00    0.00    0.00   88.75
00:59:02       1    2.11    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   96.84
00:59:02       2    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:59:02       3    3.06    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   85.71
00:59:02       4    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91
00:59:02       5    2.04    0.00    5.10    0.00    0.00   30.61    0.00    0.00    0.00   62.24
00:59:02       6    3.03    0.00   10.10    0.00    0.00    2.02    0.00    0.00    0.00   84.85
00:59:02       7    3.03    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   90.91
00:59:02       8    4.04    0.00    6.06    1.01    0.00    0.00    0.00    0.00    0.00   88.89
00:59:02       9    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:59:02      10    2.04    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   92.86
00:59:02      11    3.06    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   92.86
00:59:02      12    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
00:59:02      13    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
00:59:02      14    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
