Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:14:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:14:02     all    4.86    0.00    3.37    0.17    0.00    1.36    0.00    0.00    0.00   90.24
00:14:02       0   13.25    0.00    7.23    0.00    0.00    0.00    0.00    0.00    0.00   79.52
00:14:02       1    4.35    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   90.22
00:14:02       2    7.37    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   86.32
00:14:02       3    4.04    0.00    2.02    1.01    0.00    1.01    0.00    0.00    0.00   91.92
00:14:02       4    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
00:14:02       5    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
00:14:02       6    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:14:02       7    3.06    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   90.82
00:14:02       8    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:14:02       9    2.04    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   95.92
00:14:02      10    5.00    0.00    7.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
00:14:02      11    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:14:02      12    5.05    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   91.92
00:14:02      13    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
00:14:02      14    8.08    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   84.85
00:14:02      15    4.08    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   90.82
00:14:02      16    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
00:14:02      17    7.07    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   87.88
00:14:02      18    6.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   91.00
00:14:02      19    5.00    0.00    2.00    1.00    0.00    1.00    0.00    0.00    0.00   91.00
00:14:02      20    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
00:14:02      21    5.05    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   86.87
00:14:02      22    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:14:02      23    2.00    0.00    3.00    0.00    0.00    6.00    0.00    0.00    0.00   89.00
00:14:02      24    9.18    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   89.80
00:14:02      25    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:14:02      26    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
00:14:02      27    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:14:02      28    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:14:02      29    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:14:02      30    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
00:14:02      31    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:14:02      32    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:14:02      33    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:14:02      34    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:14:02      35    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:14:02      36    8.08    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   86.87
00:14:02      37    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:14:02      38    5.05    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   92.93
00:14:02      39    5.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
00:14:02      40    5.10    0.00    6.12    0.00    0.00   12.24    0.00    0.00    0.00   76.53
00:14:02      41    4.00    0.00    7.00    1.00    0.00    1.00    0.00    0.00    0.00   87.00
00:14:02      42    4.12    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   86.60
00:14:02      43    5.05    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   90.91
00:14:02      44    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:14:02      45    4.08    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   92.86
00:14:02      46    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
00:14:02      47    5.00    0.00   16.00    0.00    0.00   35.00    0.00    0.00    0.00   44.00

00:14:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:14:03     all    4.93    0.00    2.92    0.04    0.00    1.40    0.00    0.00    0.00   90.71
00:14:03       0    6.33    0.00    5.06    0.00    0.00    1.27    0.00    0.00    0.00   87.34
00:14:03       1    7.29    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   85.42
00:14:03       2    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:14:03       3    4.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.88
00:14:03       4    4.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
00:14:03       5    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:14:03       6    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:14:03       7    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:14:03       8    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:14:03       9    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:14:03      10    5.10    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   87.76
00:14:03      11    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
00:14:03      12    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
00:14:03      13    7.14    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   90.82
