Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:29:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:29:33     all    3.66    0.00    2.96    0.04    0.00    1.21    0.00    0.00    0.00   92.13
00:29:33       0    3.85    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   94.87
00:29:33       1    3.09    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   88.66
00:29:33       2    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:29:33       3    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
00:29:33       4    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:29:33       5    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
00:29:33       6    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
00:29:33       7    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:29:33       8    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:29:33       9    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:29:33      10    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
00:29:33      11    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:29:33      12    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:29:33      13    3.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
00:29:33      14    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:29:33      15    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:29:33      16    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:29:33      17    4.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
00:29:33      18    3.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
00:29:33      19    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:29:33      20    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
00:29:33      21    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
00:29:33      22    6.93    0.00   26.73    0.00    0.00   36.63    0.00    0.00    0.00   29.70
00:29:33      23    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:29:33      24    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:29:33      25    6.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:29:33      26   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
00:29:33      27    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:29:33      28    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
00:29:33      29    5.05    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   88.89
00:29:33      30    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
00:29:33      31    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
00:29:33      32    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:29:33      33    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:29:33      34    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91
00:29:33      35    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:29:33      36    4.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
00:29:33      37    5.05    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   89.90
00:29:33      38    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
00:29:33      39    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:29:33      40    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
00:29:33      41    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:29:33      42    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:29:33      43    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:29:33      44    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06
00:29:33      45    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
00:29:33      46    4.04    0.00    8.08    0.00    0.00   14.14    0.00    0.00    0.00   73.74
00:29:33      47    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94

00:29:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:29:34     all    3.16    0.00    3.26    0.30    0.00    1.27    0.00    0.00    0.00   92.01
00:29:34       0    3.70    0.00    6.17    0.00    0.00    0.00    0.00    0.00    0.00   90.12
00:29:34       1    3.23    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   95.70
00:29:34       2    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
00:29:34       3    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:29:34       4    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:29:34       5    4.04    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   87.88
00:29:34       6    3.03    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   92.93
00:29:34       7    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
