Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:40:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:40:22     all    7.31    0.00    3.19    0.04    0.00    0.66    0.00    0.00    0.00   88.79
00:40:22       0   17.86    0.00    3.57    0.00    0.00    1.19    0.00    0.00    0.00   77.38
00:40:22       1    6.38    0.00    1.06    0.00    0.00    1.06    0.00    0.00    0.00   91.49
00:40:22       2    7.45    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   88.30
00:40:22       3   10.31    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   85.57
00:40:22       4    8.42    0.00    2.11    0.00    0.00    1.05    0.00    0.00    0.00   88.42
00:40:22       5    5.10    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   90.82
00:40:22       6    6.06    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   90.91
00:40:22       7    6.19    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   88.66
00:40:22       8    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:40:22       9    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:40:22      10    6.12    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   90.82
00:40:22      11    6.12    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   90.82
00:40:22      12   12.37    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   83.51
00:40:22      13    7.22    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   88.66
00:40:22      14   10.10    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   82.83
00:40:22      15    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
00:40:22      16    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
00:40:22      17    5.05    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   87.88
00:40:22      18    5.10    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   92.86
00:40:22      19    7.14    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   89.80
00:40:22      20    6.12    0.00    2.04    1.02    0.00    1.02    0.00    0.00    0.00   89.80
00:40:22      21    9.28    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   88.66
00:40:22      22    9.18    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   88.78
00:40:22      23   10.20    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   85.71
00:40:22      24   11.22    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   84.69
00:40:22      25    8.16    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   90.82
00:40:22      26    5.15    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   89.69
