Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

01:08:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:16     all    3.99    0.00    2.78    0.17    0.00    0.83    0.00    0.00    0.00   92.24
01:08:16       0    5.13    0.00    5.13    0.00    0.00    0.00    0.00    0.00    0.00   89.74
01:08:16       1   16.49    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   81.44
01:08:16       2    3.16    0.00    1.05    1.05    0.00    0.00    0.00    0.00    0.00   94.74
01:08:16       3    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:08:16       4    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:08:16       5    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:08:16       6    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:08:16       7    4.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   94.00
01:08:16       8    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:08:16       9    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:08:16      10    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:08:16      11    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:08:16      12    3.03    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   93.94
01:08:16      13    3.03    0.00    2.02    1.01    0.00    2.02    0.00    0.00    0.00   91.92
01:08:16      14    5.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
01:08:16      15    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
01:08:16      16    1.02    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   96.94
01:08:16      17    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:08:16      18    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
01:08:16      19    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:08:16      20    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:08:16      21    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:08:16      22    4.04    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   92.93
01:08:16      23    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:08:16      24    6.00    0.00   12.00    0.00    0.00    1.00    0.00    0.00    0.00   81.00
01:08:16      25    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:08:16      26    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:08:16      27    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:08:16      28    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:08:16      29    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
01:08:16      30    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:08:16      31    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:08:16      32    2.97    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   93.07
