Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:20:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:20:12     all    4.41    0.00    3.75    0.04    0.00    0.66    0.00    0.00    0.00   91.13
00:20:12       0    3.80    0.00    3.80    0.00    0.00    1.27    0.00    0.00    0.00   91.14
00:20:12       1    2.08    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   94.79
00:20:12       2    4.08    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   90.82
00:20:12       3    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
00:20:12       4    3.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
00:20:12       5    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:20:12       6    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:20:12       7    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
00:20:12       8    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:20:12       9    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:20:12      10    3.03    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   95.96
00:20:12      11    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:20:12      12    3.06    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:20:12      13    5.94    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   91.09
00:20:12      14    3.96    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   93.07
00:20:12      15    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
00:20:12      16    3.96    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   93.07
00:20:12      17    5.38    0.00    4.30    0.00    0.00   23.66    0.00    0.00    0.00   66.67
00:20:12      18    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
