Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:52:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:52:45     all    5.02    0.00    2.95    0.09    0.00    0.68    0.00    0.00    0.00   91.27
00:52:45       0    7.23    0.00    8.43    0.00    0.00    0.00    0.00    0.00    0.00   84.34
00:52:45       1   10.87    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   86.96
00:52:45       2    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
00:52:45       3    5.21    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   90.62
00:52:45       4    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:52:45       5    5.21    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   90.62
00:52:45       6    4.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:52:45       7    3.96    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   94.06
00:52:45       8    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
00:52:45       9    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:52:45      10    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
00:52:45      11    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81
00:52:45      12    6.32    0.00    6.32    1.05    0.00    8.42    0.00    0.00    0.00   77.89
00:52:45      13    5.21    0.00    7.29    0.00    0.00    3.12    0.00    0.00    0.00   84.38
00:52:45      14    3.12    0.00    4.17    0.00    0.00    1.04    0.00    0.00    0.00   91.67
00:52:45      15    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:52:45      16    5.21    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   93.75
00:52:45      17    7.29    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   91.67
00:52:45      18    8.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
00:52:45      19    8.16    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   89.80
00:52:45      20    6.12    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   83.67
00:52:45      21    7.14    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   88.78
00:52:45      22    8.16    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   88.78
00:52:45      23    5.05    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   92.93
00:52:45      24    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:52:45      25    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:52:45      26    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:52:45      27    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:52:45      28    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:52:45      29    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:52:45      30    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:52:45      31    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:52:45      32    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:52:45      33    5.94    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   87.13
00:52:45      34    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:52:45      35    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:52:45      36    6.19    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   86.60
00:52:45      37    5.10    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   90.82
00:52:45      38    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:52:45      39    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:52:45      40    4.95    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   90.10
00:52:45      41    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
00:52:45      42    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
00:52:45      43    6.12    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   88.78
00:52:45      44    5.26    0.00    1.05    1.05    0.00    0.00    0.00    0.00    0.00   92.63
00:52:45      45    5.05    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   92.93
00:52:45      46    5.10    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   90.82
00:52:45      47    5.05    0.00    3.03    0.00    0.00   14.14    0.00    0.00    0.00   77.78

00:52:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:52:46     all    3.08    0.00    2.68    0.19    0.00    0.70    0.00    0.00    0.00   93.35
00:52:46       0    5.95    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   85.71
00:52:46       1    3.33    0.00    1.11    0.00    0.00    0.00    0.00    0.00    0.00   95.56
00:52:46       2    3.06    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   94.90
00:52:46       3    3.00    0.00    1.00    1.00    0.00    1.00    0.00    0.00    0.00   94.00
00:52:46       4    3.06    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   94.90
00:52:46       5    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
00:52:46       6    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91
00:52:46       7    4.08    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   84.69
00:52:46       8    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:52:46       9    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:52:46      10    3.06    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   91.84
00:52:46      11    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:52:46      12    5.05    0.00    4.04    1.01    0.00    3.03    0.00    0.00    0.00   86.87
00:52:46      13    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
00:52:46      14    4.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
00:52:46      15    2.06    0.00    4.12    1.03    0.00    5.15    0.00    0.00    0.00   87.63
00:52:46      16    3.06    0.00    5.10    0.00    0.00    2.04    0.00    0.00    0.00   89.80
00:52:46      17    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
00:52:46      18    2.06    0.00    7.22    0.00    0.00    2.06    0.00    0.00    0.00   88.66
00:52:46      19    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:52:46      20    2.06    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   95.88
00:52:46      21    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:52:46      22    3.06    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   95.92
