Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/05/26 	_x86_64_	(48 CPU)

00:38:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:38:47     all    4.02    0.00    3.51    0.04    0.00    0.13    0.00    0.00    0.00   92.30
00:38:47       0   14.13    0.00   40.22    0.00    0.00    1.09    0.00    0.00    0.00   44.57
00:38:47       1    4.60    0.00    4.60    0.00    0.00    0.00    0.00    0.00    0.00   90.80
00:38:47       2    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
00:38:47       3    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
00:38:47       4    3.06    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   90.82
00:38:47       5    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
00:38:47       6    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
00:38:47       7    4.08    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   90.82
00:38:47       8    3.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
00:38:47       9    4.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
00:38:47      10    3.03    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   88.89
00:38:47      11    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
00:38:47      12    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:38:47      13    9.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
00:38:47      14    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
00:38:47      15    5.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
00:38:47      16    4.04    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   87.88
00:38:47      17    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
00:38:47      18    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
00:38:47      19    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
00:38:47      20    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
00:38:47      21    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
00:38:47      22    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
00:38:47      23   10.31    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   84.54
00:38:47      24    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
00:38:47      25    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:38:47      26    1.98    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   96.04
00:38:47      27    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
00:38:47      28    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:38:47      29    5.94    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   91.09
00:38:47      30    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:38:47      31    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
00:38:47      32    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
00:38:47      33    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
00:38:47      34    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
00:38:47      35    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
00:38:47      36    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
