Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:52:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:52:31     all    3.74    0.00    5.94    0.13    0.00    3.42    0.00    0.00    0.00   86.78
23:52:31       0    4.30    0.00    6.45    0.00    0.00   16.13    0.00    0.00    0.00   73.12
23:52:31       1    3.03    0.00    8.08    0.00    0.00   10.10    0.00    0.00    0.00   78.79
23:52:31       2    4.35    0.00    3.26    0.00    0.00    1.09    0.00    0.00    0.00   91.30
23:52:31       3    4.08    0.00   10.20    0.00    0.00    7.14    0.00    0.00    0.00   78.57
23:52:31       4    2.06    0.00   10.31    0.00    0.00    9.28    0.00    0.00    0.00   78.35
23:52:31       5    3.09    0.00    4.12    1.03    0.00   11.34    0.00    0.00    0.00   80.41
23:52:31       6    3.09    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:52:31       7    4.08    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   85.71
23:52:31       8    3.06    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   94.90
23:52:31       9    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
23:52:31      10    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:52:31      11    4.08    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:52:31      12    5.10    0.00    7.14    0.00    0.00   12.24    0.00    0.00    0.00   75.51
23:52:31      13    4.95    0.00    2.97    0.99    0.00    0.99    0.00    0.00    0.00   90.10
23:52:31      14    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:52:31      15    5.10    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   88.78
23:52:31      16    4.12    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:52:31      17    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:52:31      18    5.05    0.00   11.11    0.00    0.00   16.16    0.00    0.00    0.00   67.68
23:52:31      19    3.06    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:52:31      20    3.09    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   88.66
23:52:31      21    4.08    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:52:31      22    4.12    0.00    7.22    0.00    0.00    8.25    0.00    0.00    0.00   80.41
23:52:31      23    3.03    0.00   14.14    0.00    0.00    1.01    0.00    0.00    0.00   81.82
23:52:31      24    3.03    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   93.94
23:52:31      25    3.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
23:52:31      26    2.04    0.00    5.10    0.00    0.00    6.12    0.00    0.00    0.00   86.73
23:52:31      27    2.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
23:52:31      28    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:52:31      29    3.06    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   85.71
23:52:31      30    5.10    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:52:31      31    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:52:31      32    4.08    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   90.82
23:52:31      33    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:52:31      34    3.03    0.00   10.10    0.00    0.00    1.01    0.00    0.00    0.00   85.86
23:52:31      35    4.95    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   90.10
23:52:31      36    4.04    0.00    6.06    0.00    0.00   11.11    0.00    0.00    0.00   78.79
23:52:31      37    3.06    0.00    7.14    0.00    0.00   12.24    0.00    0.00    0.00   77.55
23:52:31      38    4.08    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:52:31      39    3.03    0.00    5.05    0.00    0.00   11.11    0.00    0.00    0.00   80.81
23:52:31      40    3.06    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:52:31      41    4.04    0.00    8.08    0.00    0.00    9.09    0.00    0.00    0.00   78.79
23:52:31      42    2.06    0.00    6.19    0.00    0.00   16.49    0.00    0.00    0.00   75.26
23:52:31      43    6.25    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   82.29
23:52:31      44    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:52:31      45    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
23:52:31      46    6.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
23:52:31      47    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00

23:52:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:52:32     all    4.85    0.00    9.11    0.36    0.00    5.54    0.00    0.00    0.00   80.14
23:52:32       0    3.09    0.00   12.37    0.00    0.00   30.93    0.00    0.00    0.00   53.61
23:52:32       1    3.06    0.00    9.18    0.00    0.00   18.37    0.00    0.00    0.00   69.39
23:52:32       2    3.53    0.00   16.47    0.00    0.00    0.00    0.00    0.00    0.00   80.00
23:52:32       3    3.12    0.00    7.29    0.00    0.00   13.54    0.00    0.00    0.00   76.04
23:52:32       4    4.00    0.00   10.00    0.00    0.00   15.00    0.00    0.00    0.00   71.00
23:52:32       5    5.21    0.00   13.54    0.00    0.00    7.29    0.00    0.00    0.00   73.96
23:52:32       6    3.16    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00   81.05
23:52:32       7    3.09    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:52:32       8    3.09    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   86.60
23:52:32       9    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:52:32      10    4.08    0.00   15.31    1.02    0.00    0.00    0.00    0.00    0.00   79.59
23:52:32      11    5.05    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:52:32      12    3.06    0.00   13.27    3.06    0.00   20.41    0.00    0.00    0.00   60.20
23:52:32      13    5.15    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:52:32      14    8.16    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   87.76
23:52:32      15   10.20    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   82.65
23:52:32      16    6.06    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   83.84
23:52:32      17    6.19    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   84.54
23:52:32      18    2.06    0.00   15.46    0.00    0.00   21.65    0.00    0.00    0.00   60.82
23:52:32      19    7.29    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   87.50
23:52:32      20    6.12    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   80.61
23:52:32      21    5.15    0.00    4.12    1.03    0.00    0.00    0.00    0.00    0.00   89.69
23:52:32      22    2.04    0.00   12.24    0.00    0.00   18.37    0.00    0.00    0.00   67.35
23:52:32      23    6.12    0.00    8.16    4.08    0.00    0.00    0.00    0.00    0.00   81.63
23:52:32      24    5.05    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   78.79
23:52:32      25    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:52:32      26    5.15    0.00   13.40    0.00    0.00   16.49    0.00    0.00    0.00   64.95
23:52:32      27    4.04    0.00   13.13    1.01    0.00    0.00    0.00    0.00    0.00   81.82
23:52:32      28    7.00    0.00    6.00    1.00    0.00    1.00    0.00    0.00    0.00   85.00
23:52:32      29    4.00    0.00   12.00    0.00    0.00    1.00    0.00    0.00    0.00   83.00
23:52:32      30    7.22    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:52:32      31    7.07    0.00    6.06    3.03    0.00    0.00    0.00    0.00    0.00   83.84
23:52:32      32    6.12    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   80.61
23:52:32      33    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:52:32      34    4.08    0.00    5.10    1.02    0.00    0.00    0.00    0.00    0.00   89.80
23:52:32      35    4.12    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:52:32      36    2.02    0.00   15.15    0.00    0.00   21.21    0.00    0.00    0.00   61.62
23:52:32      37    4.12    0.00    5.15    0.00    0.00   19.59    0.00    0.00    0.00   71.13
23:52:32      38    5.10    0.00    8.16    1.02    0.00    0.00    0.00    0.00    0.00   85.71
23:52:32      39    4.08    0.00    7.14    1.02    0.00   16.33    0.00    0.00    0.00   71.43
23:52:32      40    5.10    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   80.61
23:52:32      41    3.16    0.00    7.37    0.00    0.00   20.00    0.00    0.00    0.00   69.47
23:52:32      42    2.04    0.00   13.27    0.00    0.00   19.39    0.00    0.00    0.00   65.31
23:52:32      43    5.00    0.00   12.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
23:52:32      44    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
23:52:32      45    4.21    0.00    6.32    0.00    0.00    1.05    0.00    0.00    0.00   88.42
23:52:32      46    4.08    0.00   11.22    0.00    0.00    1.02    0.00    0.00    0.00   83.67
23:52:32      47    9.28    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   84.54

23:52:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:52:33     all    2.81    0.00    6.42    0.28    0.00    3.98    0.00    0.00    0.00   86.52
23:52:33       0    5.10    0.00   10.20    0.00    0.00   10.20    0.00    0.00    0.00   74.49
23:52:33       1    2.06    0.00    6.19    0.00    0.00   13.40    0.00    0.00    0.00   78.35
23:52:33       2    4.55    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   86.36
23:52:33       3    2.06    0.00    7.22    0.00    0.00   13.40    0.00    0.00    0.00   77.32
23:52:33       4    2.06    0.00    6.19    0.00    0.00   11.34    0.00    0.00    0.00   80.41
23:52:33       5    6.12    0.00   14.29    0.00    0.00    7.14    0.00    0.00    0.00   72.45
23:52:33       6    3.19    0.00    5.32    0.00    0.00    0.00    0.00    0.00    0.00   91.49
