Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:22:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:22:49     all    3.93    0.00    3.87    0.06    0.00    0.30    0.00    0.00    0.00   91.84
23:22:49       0    3.70    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   93.83
23:22:49       1    3.19    0.00    2.13    0.00    0.00    1.06    0.00    0.00    0.00   93.62
23:22:49       2    5.05    0.00    7.07    0.00    0.00    9.09    0.00    0.00    0.00   78.79
23:22:49       3    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
23:22:49       4    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
23:22:49       5    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:22:49       6    4.95    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   92.08
23:22:49       7    4.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
23:22:49       8    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:49       9    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
23:22:49      10    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:22:49      11    4.90    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   92.16
23:22:49      12    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:22:49      13    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:22:49      14    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
23:22:49      15    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:49      16    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
23:22:49      17    5.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
23:22:49      18    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:49      19    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
23:22:49      20    5.05    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   91.92
23:22:49      21    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:22:49      22    5.05    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   91.92
23:22:49      23    3.96    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   94.06
23:22:49      24    4.04    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   87.88
23:22:49      25    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:22:49      26    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:22:49      27   11.00    0.00   57.00    0.00    0.00    0.00    0.00    0.00    0.00   32.00
23:22:49      28    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:22:49      29    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
23:22:49      30    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:22:49      31    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
23:22:49      32    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:22:49      33    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:22:49      34    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:22:49      35    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:49      36    5.05    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   91.92
23:22:49      37    3.12    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   92.71
23:22:49      38    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:22:49      39    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:22:49      40    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:22:49      41    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
23:22:49      42    2.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   95.00
23:22:49      43    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:22:49      44    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:22:49      45    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06
23:22:49      46    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:22:49      47    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96

23:22:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:22:50     all    3.89    0.00    4.27    0.85    0.00    0.45    0.00    0.00    0.00   90.55
23:22:50       0    4.88    0.00    3.66    0.00    0.00    0.00    0.00    0.00    0.00   91.46
23:22:50       1    5.21    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   89.58
23:22:50       2    3.09    0.00    3.09    0.00    0.00   13.40    0.00    0.00    0.00   80.41
23:22:50       3    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
23:22:50       4    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:50       5    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:22:50       6    3.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:22:50       7    3.06    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   92.86
23:22:50       8    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:50       9    3.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
23:22:50      10    4.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
23:22:50      11    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:50      12    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:22:50      13    4.08    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   92.86
23:22:50      14    5.15    0.00    1.03    4.12    0.00    0.00    0.00    0.00    0.00   89.69
23:22:50      15    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:22:50      16    3.03    0.00    1.01    5.05    0.00    0.00    0.00    0.00    0.00   90.91
23:22:50      17    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:22:50      18    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
23:22:50      19    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:22:50      20    4.08    0.00    2.04    4.08    0.00    0.00    0.00    0.00    0.00   89.80
23:22:50      21    3.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   94.00
23:22:50      22    2.02    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   95.96
23:22:50      23    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
23:22:50      24    4.04    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   88.89
23:22:50      25    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:22:50      26    4.04    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   91.92
23:22:50      27   13.13    0.00   86.87    0.00    0.00    0.00    0.00    0.00    0.00    0.00
23:22:50      28    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:22:50      29    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:22:50      30    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:22:50      31    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
23:22:50      32    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:22:50      33    6.06    0.00    3.03    5.05    0.00    0.00    0.00    0.00    0.00   85.86
23:22:50      34    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:22:50      35    5.05    0.00    7.07    1.01    0.00    0.00    0.00    0.00    0.00   86.87
23:22:50      36    5.05    0.00    2.02    4.04    0.00    0.00    0.00    0.00    0.00   88.89
23:22:50      37    3.96    0.00    5.94    0.99    0.00    0.00    0.00    0.00    0.00   89.11
23:22:50      38    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:22:50      39    5.10    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   92.86
23:22:50      40    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:22:50      41    4.08    0.00    4.08    4.08    0.00    0.00    0.00    0.00    0.00   87.76
23:22:50      42    3.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:22:50      43    4.04    0.00    3.03    5.05    0.00    0.00    0.00    0.00    0.00   87.88
23:22:50      44    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:22:50      45    3.06    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   91.84
23:22:50      46    3.06    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   93.88
23:22:50      47    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91

23:22:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:22:51     all    5.57    0.00    4.70    0.25    0.00    0.47    0.00    0.00    0.00   89.01
23:22:51       0    6.02    0.00    4.82    0.00    0.00    0.00    0.00    0.00    0.00   89.16
23:22:51       1    7.45    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00   85.11
23:22:51       2    4.17    0.00    2.08    0.00    0.00   15.62    0.00    0.00    0.00   78.12
23:22:51       3    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:22:51       4    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:22:51       5    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
