Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:37:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:37:40     all   10.25    0.00    3.92    0.15    0.00    0.21    0.00    0.00    0.00   85.47
23:37:40       0   13.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   86.75
23:37:40       1   10.64    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   88.30
23:37:40       2   11.11    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   86.87
23:37:40       3   10.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:37:40       4   11.22    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   85.71
23:37:40       5   10.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
23:37:40       6   11.22    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   82.65
23:37:40       7   13.27    0.00   10.20    1.02    0.00    0.00    0.00    0.00    0.00   75.51
23:37:40       8    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:37:40       9   13.13    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   84.85
23:37:40      10   10.20    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   84.69
23:37:40      11   10.20    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   83.67
23:37:40      12   10.10    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   85.86
23:37:40      13    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:37:40      14    9.18    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:37:40      15    6.19    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   85.57
23:37:40      16    9.09    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:37:40      17    9.09    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   86.87
23:37:40      18   10.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
23:37:40      19   10.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
23:37:40      20   10.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
23:37:40      21    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
23:37:40      22   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:37:40      23    9.09    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   87.88
23:37:40      24    9.09    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   84.85
23:37:40      25   10.31    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   86.60
23:37:40      26   10.20    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   88.78
23:37:40      27    9.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
23:37:40      28   10.20    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   84.69
23:37:40      29   10.10    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   86.87
23:37:40      30   16.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   77.00
23:37:40      31    9.09    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   86.87
23:37:40      32   10.10    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   86.87
23:37:40      33   10.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
23:37:40      34   10.31    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   88.66
23:37:40      35   16.49    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   79.38
23:37:40      36    8.16    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:37:40      37   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
23:37:40      38   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.88
23:37:40      39   10.10    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   87.88
23:37:40      40   10.31    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   84.54
23:37:40      41    9.09    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:37:40      42    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:37:40      43   10.20    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:37:40      44   11.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
23:37:40      45    8.25    0.00    8.25    0.00    0.00    7.22    0.00    0.00    0.00   76.29
23:37:40      46   12.24    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   64.29
