Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:48:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:48:48     all    4.67    0.00    2.59    0.25    0.00    0.11    0.00    0.00    0.00   92.38
23:48:48       0    7.14    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   89.29
23:48:48       1    4.26    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   93.62
23:48:48       2    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
23:48:48       3    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:48:48       4    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:48:48       5    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:48       6    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:48       7    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:48       8    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:48:48       9    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:48:48      10    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:48:48      11    5.05    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   91.92
23:48:48      12    6.00    0.00    9.00    1.00    0.00    1.00    0.00    0.00    0.00   83.00
23:48:48      13    4.04    0.00    2.02    1.01    0.00    1.01    0.00    0.00    0.00   91.92
23:48:48      14    4.04    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   92.93
23:48:48      15    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:48:48      16    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
23:48:48      17    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:48      18    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:48:48      19    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
23:48:48      20    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:48:48      21    6.06    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:48:48      22    6.12    0.00    7.14    1.02    0.00    0.00    0.00    0.00    0.00   85.71
23:48:48      23    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:48:48      24    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:48      25    4.04    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   92.93
23:48:48      26    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:48:48      27    6.06    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:48:48      28    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:48:48      29    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:48      30    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:48:48      31    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:48:48      32    5.05    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   90.91
23:48:48      33    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:48      34    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:48:48      35    4.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:48:48      36    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:48:48      37    5.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   92.00
23:48:48      38    4.04    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   93.94
23:48:48      39    8.25    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   84.54
23:48:48      40    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:48:48      41    2.04    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   94.90
23:48:48      42    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:48:48      43    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:48:48      44    5.05    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   89.90
23:48:48      45    3.09    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   94.85
23:48:48      46    5.10    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   90.82
23:48:48      47    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93

23:48:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:48:49     all    4.55    0.00    2.37    0.49    0.00    0.11    0.00    0.00    0.00   92.49
23:48:49       0    6.10    0.00    3.66    3.66    0.00    0.00    0.00    0.00    0.00   86.59
23:48:49       1    5.26    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   91.58
23:48:49       2    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:48:49       3    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:48:49       4    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
23:48:49       5    4.04    0.00    5.05    3.03    0.00    0.00    0.00    0.00    0.00   87.88
23:48:49       6    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:48:49       7    3.96    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   94.06
23:48:49       8    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:48:49       9    4.08    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:48:49      10    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:49      11    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
23:48:49      12    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:48:49      13    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:49      14    5.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:49      15    4.08    0.00    4.08    4.08    0.00    0.00    0.00    0.00    0.00   87.76
23:48:49      16    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:48:49      17    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:48:49      18    4.04    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   94.95
23:48:49      19    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
23:48:49      20    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:49      21    7.07    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   87.88
23:48:49      22    5.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
23:48:49      23    5.05    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   90.91
23:48:49      24    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:48:49      25    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:48:49      26    5.05    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   92.93
23:48:49      27    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:48:49      28    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:48:49      29    6.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
23:48:49      30    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:48:49      31    6.06    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   89.90
23:48:49      32    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:48:49      33    5.10    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:48:49      34    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
23:48:49      35    4.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   93.00
23:48:49      36    5.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   91.00
23:48:49      37    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:48:49      38    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:48:49      39    5.05    0.00    4.04    2.02    0.00    0.00    0.00    0.00    0.00   88.89
23:48:49      40    4.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   94.00
23:48:49      41    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:49      42    6.06    0.00    2.02    4.04    0.00    0.00    0.00    0.00    0.00   87.88
23:48:49      43    3.06    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   94.90
23:48:49      44    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:48:49      45    4.08    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   91.84
23:48:49      46    5.05    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:48:49      47    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
