Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:42:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:42:25     all    6.71    0.00    3.57    0.28    0.00    0.42    0.00    0.00    0.00   89.02
23:42:25       0    8.54    0.00    1.22    0.00    0.00    0.00    0.00    0.00    0.00   90.24
23:42:25       1    7.45    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   86.17
23:42:25       2    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:42:25       3    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:42:25       4    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:42:25       5    5.15    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   88.66
23:42:25       6    6.12    0.00    1.02    2.04    0.00    1.02    0.00    0.00    0.00   89.80
23:42:25       7    4.04    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   90.91
23:42:25       8   11.22    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   82.65
23:42:25       9    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:42:25      10    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:42:25      11    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:42:25      12    6.19    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   91.75
23:42:25      13    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:42:25      14    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:42:25      15    7.07    0.00    4.04    3.03    0.00    0.00    0.00    0.00    0.00   85.86
23:42:25      16   20.20    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   76.77
23:42:25      17    6.06    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   86.87
23:42:25      18    7.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
23:42:25      19    8.08    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   83.84
23:42:25      20    8.08    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   81.82
23:42:25      21    5.05    0.00    2.02    1.01    0.00    1.01    0.00    0.00    0.00   90.91
23:42:25      22    7.14    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:42:25      23    6.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
23:42:25      24    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:42:25      25    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:42:25      26    4.08    0.00    8.16    0.00    0.00    9.18    0.00    0.00    0.00   78.57
23:42:25      27    6.25    0.00    8.33    0.00    0.00    1.04    0.00    0.00    0.00   84.38
23:42:25      28    6.06    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   86.87
23:42:25      29    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:42:25      30    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:42:25      31    5.10    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:42:25      32    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:42:25      33    4.08    0.00    1.02    4.08    0.00    0.00    0.00    0.00    0.00   90.82
23:42:25      34    5.05    0.00    6.06    1.01    0.00    0.00    0.00    0.00    0.00   87.88
23:42:25      35   15.15    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   82.83
23:42:25      36    4.04    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   92.93
23:42:25      37   11.11    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   84.85
23:42:25      38   10.10    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   86.87
