Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:12:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:12:43     all    4.74    0.00    3.42    0.40    0.00    0.49    0.00    0.00    0.00   90.94
23:12:43       0    5.06    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   93.67
23:12:43       1    6.12    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   86.73
23:12:43       2    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:12:43       3    5.05    0.00    4.04    6.06    0.00   16.16    0.00    0.00    0.00   68.69
23:12:43       4    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
23:12:43       5    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:43       6    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:12:43       7    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:43       8    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:12:43       9    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
23:12:43      10    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:43      11    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
23:12:43      12    6.00    0.00    1.00    1.00    0.00    1.00    0.00    0.00    0.00   91.00
23:12:43      13    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:43      14    6.06    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   89.90
23:12:43      15    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:43      16    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:12:43      17   23.00    0.00   42.00    0.00    0.00    2.00    0.00    0.00    0.00   33.00
23:12:43      18    5.05    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   91.92
23:12:43      19    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:12:43      20    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:43      21    6.12    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:12:43      22    3.06    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   94.90
23:12:43      23    4.04    0.00    7.07    1.01    0.00    0.00    0.00    0.00    0.00   87.88
23:12:43      24    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:43      25    5.05    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   90.91
23:12:43      26    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:12:43      27    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
23:12:43      28    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:12:43      29    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:12:43      30    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:43      31    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:12:43      32    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:43      33    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:12:43      34    5.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
23:12:43      35    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:43      36    5.05    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   92.93
23:12:43      37    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
23:12:43      38    5.10    0.00    2.04    4.08    0.00    0.00    0.00    0.00    0.00   88.78
23:12:43      39    6.12    0.00   12.24    1.02    0.00    0.00    0.00    0.00    0.00   80.61
23:12:43      40    4.08    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   92.86
23:12:43      41    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:43      42    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:43      43    5.05    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   91.92
23:12:43      44    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:12:43      45    4.08    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   92.86
23:12:43      46    6.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:43      47    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81

23:12:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:12:44     all    5.32    0.00    4.15    0.21    0.00    0.87    0.00    0.00    0.00   89.45
23:12:44       0    8.24    0.00    5.88    0.00    0.00    1.18    0.00    0.00    0.00   84.71
23:12:44       1    5.49    0.00    2.20    0.00    0.00    0.00    0.00    0.00    0.00   92.31
23:12:44       2    4.17    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   92.71
23:12:44       3    3.00    0.00    4.00    0.00    0.00   35.00    0.00    0.00    0.00   58.00
23:12:44       4    5.10    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:12:44       5    5.00    0.00    6.00    1.00    0.00    1.00    0.00    0.00    0.00   87.00
23:12:44       6    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:44       7    8.16    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   86.73
23:12:44       8    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:12:44       9    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:12:44      10    6.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:44      11    6.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
23:12:44      12    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:44      13    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:12:44      14    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:44      15    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:44      16    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:44      17   35.35    0.00   62.63    0.00    0.00    2.02    0.00    0.00    0.00    0.00
23:12:44      18    5.10    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:12:44      19    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:12:44      20    4.04    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   93.94
23:12:44      21    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:44      22    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:44      23    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
23:12:44      24    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:12:44      25    5.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
23:12:44      26    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:44      27    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:44      28    3.06    0.00    1.02    4.08    0.00    0.00    0.00    0.00    0.00   91.84
23:12:44      29    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:12:44      30    5.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
23:12:44      31    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:44      32    6.12    0.00    3.06    4.08    0.00    0.00    0.00    0.00    0.00   86.73
23:12:44      33    5.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
23:12:44      34    6.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
23:12:44      35    6.06    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:12:44      36    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:44      37    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:12:44      38    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:44      39    4.04    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   93.94
23:12:44      40    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:44      41    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
23:12:44      42    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
23:12:44      43    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
23:12:44      44    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:12:44      45    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:44      46    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:12:44      47    6.12    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   88.78

23:12:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:12:45     all    4.12    0.00    3.48    0.21    0.00    0.76    0.00    0.00    0.00   91.42
23:12:45       0    3.61    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   93.98
23:12:45       1    3.26    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   91.30
23:12:45       2    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
23:12:45       3    2.11    0.00    1.05    2.11    0.00   29.47    0.00    0.00    0.00   65.26
23:12:45       4    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:12:45       5    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
23:12:45       6    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
23:12:45       7    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:45       8    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06
23:12:45       9    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
23:12:45      10    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
23:12:45      11    3.03    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   93.94
23:12:45      12    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:12:45      13    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:45      14    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:45      15    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:12:45      16    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:45      17   35.00    0.00   62.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00
23:12:45      18    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:12:45      19    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
23:12:45      20    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:45      21    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
23:12:45      22    4.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
23:12:45      23    4.08    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   93.88
23:12:45      24    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:12:45      25    5.05    0.00    8.08    1.01    0.00    0.00    0.00    0.00    0.00   85.86
23:12:45      26    3.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.88
23:12:45      27    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
23:12:45      28    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:12:45      29    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
23:12:45      30    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:12:45      31    4.04    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   90.91
23:12:45      32    4.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
23:12:45      33    6.19    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   89.69
23:12:45      34    3.09    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   92.78
23:12:45      35    6.12    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   85.71
23:12:45      36    3.06    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   90.82
23:12:45      37    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:12:45      38    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06
23:12:45      39    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:12:45      40    5.05    0.00    2.02    3.03    0.00    1.01    0.00    0.00    0.00   88.89
23:12:45      41    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
23:12:45      42    3.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:12:45      43    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
23:12:45      44    5.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
23:12:45      45    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:12:45      46    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:12:45      47    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00

23:12:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:12:46     all    4.77    0.00    3.97    0.34    0.00    0.89    0.00    0.00    0.00   90.04
23:12:46       0    7.06    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   90.59
23:12:46       1    5.21    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   90.62
23:12:46       2    4.12    0.00    5.15    0.00    0.00    1.03    0.00    0.00    0.00   89.69
23:12:46       3    2.97    0.00    2.97    0.00    0.00   32.67    0.00    0.00    0.00   61.39
23:12:46       4    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:12:46       5    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:12:46       6    4.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
23:12:46       7    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:12:46       8    4.12    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   91.75
23:12:46       9    5.10    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   86.73
23:12:46      10    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:12:46      11    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:12:46      12    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
