Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:43:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:44:00     all    8.45    0.00    3.13    0.21    0.00    0.40    0.00    0.00    0.00   87.80
23:44:00       0   12.20    0.00    3.66    0.00    0.00    0.00    0.00    0.00    0.00   84.15
23:44:00       1    8.51    0.00    5.32    3.19    0.00    0.00    0.00    0.00    0.00   82.98
23:44:00       2   10.31    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   87.63
23:44:00       3    7.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:44:00       4    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:44:00       5    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:44:00       6    9.09    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:44:00       7    8.16    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:44:00       8    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:44:00       9    8.16    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   86.73
23:44:00      10   10.10    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   87.88
23:44:00      11    8.16    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   87.76
23:44:00      12    7.14    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   89.80
23:44:00      13    6.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
23:44:00      14    5.94    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   90.10
23:44:00      15    8.25    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:44:00      16   10.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
23:44:00      17    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:44:00      18    7.22    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   89.69
23:44:00      19    8.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
23:44:00      20    9.28    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   87.63
23:44:00      21    7.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
23:44:00      22    4.17    0.00    5.21    0.00    0.00   11.46    0.00    0.00    0.00   79.17
23:44:00      23   10.31    0.00    7.22    0.00    0.00    1.03    0.00    0.00    0.00   81.44
23:44:00      24   16.16    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   80.81
23:44:00      25   11.11    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   82.83
23:44:00      26   10.10    0.00   10.10    1.01    0.00    0.00    0.00    0.00    0.00   78.79
23:44:00      27    8.16    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   82.65
23:44:00      28    8.16    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   88.78
23:44:00      29    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:44:00      30    9.18    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   84.69
23:44:00      31    7.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
23:44:00      32    6.12    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:44:00      33    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
