Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/04/26 	_x86_64_	(48 CPU)

23:30:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:30:44     all    4.47    0.00    3.47    0.38    0.00    0.11    0.00    0.00    0.00   91.57
23:30:44       0    7.41    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   91.36
23:30:44       1    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
23:30:44       2    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:30:44       3    6.12    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   87.76
23:30:44       4    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:30:44       5    6.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
23:30:44       6    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
23:30:44       7    3.06    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   94.90
23:30:44       8    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23:30:44       9    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
23:30:44      10    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
23:30:44      11    5.10    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   89.80
23:30:44      12    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:30:44      13    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:30:44      14    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:30:44      15    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:30:44      16    6.12    0.00    8.16    0.00    0.00    1.02    0.00    0.00    0.00   84.69
23:30:44      17    4.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
23:30:44      18    6.06    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   88.89
23:30:44      19    9.28    0.00   36.08    0.00    0.00    0.00    0.00    0.00    0.00   54.64
23:30:44      20    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:30:44      21    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:30:44      22    5.05    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   89.90
23:30:44      23    4.95    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   92.08
23:30:44      24    4.04    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   93.94
23:30:44      25    4.04    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   92.93
23:30:44      26    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:30:44      27    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
23:30:44      28    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:30:44      29    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:30:44      30    4.12    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   90.72
23:30:44      31    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:30:44      32    3.03    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   93.94
23:30:44      33    4.08    0.00    2.04    4.08    0.00    0.00    0.00    0.00    0.00   89.80
23:30:44      34    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:30:44      35    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
23:30:44      36    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23:30:44      37    4.04    0.00    2.02    5.05    0.00    0.00    0.00    0.00    0.00   88.89
23:30:44      38    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:30:44      39    5.05    0.00    4.04    4.04    0.00    0.00    0.00    0.00    0.00   86.87
23:30:44      40    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:30:44      41    6.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
23:30:44      42    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:30:44      43    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:30:44      44    3.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
23:30:44      45    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:30:44      46    4.04    0.00    7.07    1.01    0.00    0.00    0.00    0.00    0.00   87.88
23:30:44      47    3.03    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   95.96

23:30:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:30:45     all    4.36    0.00    2.42    0.55    0.00    0.13    0.00    0.00    0.00   92.54
23:30:45       0   10.84    0.00    3.61    4.82    0.00    1.20    0.00    0.00    0.00   79.52
23:30:45       1    4.26    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   92.55
23:30:45       2    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
23:30:45       3    8.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
23:30:45       4    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:30:45       5    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:30:45       6    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
23:30:45       7    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
23:30:45       8    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
23:30:45       9    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
23:30:45      10    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
23:30:45      11    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:30:45      12    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:30:45      13    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
23:30:45      14    5.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
23:30:45      15    6.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
23:30:45      16    3.06    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   94.90
23:30:45      17    4.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   93.00
23:30:45      18    5.10    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   86.73
23:30:45      19    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
23:30:45      20    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
23:30:45      21    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:30:45      22    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:30:45      23    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23:30:45      24    3.06    0.00    3.06    4.08    0.00    0.00    0.00    0.00    0.00   89.80
23:30:45      25    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:30:45      26    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
23:30:45      27    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
23:30:45      28    5.05    0.00    5.05    5.05    0.00    0.00    0.00    0.00    0.00   84.85
23:30:45      29    3.96    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   94.06
23:30:45      30    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23:30:45      31    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23:30:45      32    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
