Linux 6.8.0-94-generic (edge-7bf6f060000000000000ac1f6b24deb2) 	05/26/26 	_x86_64_	(48 CPU)

01:55:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:55:32     all    0.44    0.00    0.57    0.02    0.00    0.02    0.00    0.99    0.00   97.95
01:55:33     all    0.84    0.00    0.71    0.08    0.00    0.11    0.00    1.34    0.00   96.91
01:55:34     all    1.15    0.00    0.76    0.00    0.00    0.00    0.00    1.24    0.00   96.85
01:55:35     all    0.74    0.00    0.95    0.15    0.00    0.04    0.00    2.19    0.00   95.91
01:55:36     all    0.90    0.00    0.82    0.00    0.00    0.02    0.00    1.11    0.00   97.12
01:55:37     all    0.44    0.00    1.59    0.04    0.00    0.29    0.00    1.01    0.00   96.54
01:55:38     all    0.73    0.00    2.31    0.08    0.00    0.52    0.00    0.80    0.00   95.56
01:55:39     all    0.40    0.00    2.27    0.04    0.00    0.34    0.00    0.95    0.00   96.00
01:55:40     all    0.82    0.00    2.60    0.04    0.00    0.34    0.00    0.61    0.00   95.57
01:55:41     all    0.53    0.00    2.36    0.04    0.00    0.27    0.00    1.03    0.00   95.77
01:55:42     all    1.03    0.00    2.71    0.00    0.00    0.44    0.00    0.78    0.00   95.04
01:55:43     all    0.44    0.00    2.44    0.08    0.00    0.40    0.00    1.16    0.00   95.46
01:55:44     all    1.55    0.00    2.37    0.02    0.00    0.29    0.00    1.09    0.00   94.66
01:55:45     all    0.68    0.00    2.53    0.08    0.00    0.44    0.00    1.29    0.00   94.96
01:55:46     all    0.97    0.00    2.68    0.00    0.00    0.42    0.00    0.97    0.00   94.94
01:55:47     all    0.92    0.00    2.50    0.04    0.00    0.46    0.00    1.32    0.00   94.73
01:55:48     all    0.69    0.00    2.27    0.06    0.00    0.46    0.00    0.86    0.00   95.65
01:55:49     all    2.82    0.00    2.86    0.08    0.00    0.40    0.00    0.78    0.00   93.04
01:55:50     all    1.54    0.00    2.21    0.06    0.00    0.42    0.00    0.86    0.00   94.88
01:55:51     all    0.95    0.00    2.63    0.08    0.00    0.48    0.00    2.33    0.00   93.53
01:55:52     all    0.48    0.00    2.46    0.00    0.00    0.48    0.00    0.99    0.00   95.57
01:55:53     all    0.55    0.00    2.37    0.06    0.00    0.48    0.00    1.16    0.00   95.38
01:55:54     all    0.65    0.00    2.39    0.06    0.00    0.46    0.00    1.03    0.00   95.36
01:55:55     all    0.88    0.00    2.79    0.02    0.00    0.55    0.00    1.20    0.00   94.56
01:55:56     all    0.40    0.00    2.52    0.00    0.00    0.48    0.00    2.18    0.00   94.39
01:55:57     all    0.50    0.00    2.24    0.08    0.00    0.57    0.00    0.99    0.00   95.62
01:55:58     all    0.25    0.00    1.95    0.02    0.00    0.46    0.00    0.95    0.00   96.32
01:55:59     all    1.41    0.00    2.54    0.06    0.00    0.44    0.00    0.78    0.00   94.77
01:56:00     all    0.71    0.00    2.12    0.00    0.00    0.48    0.00    0.88    0.00   95.75
01:56:01     all    0.59    0.00    2.46    0.08    0.00    0.59    0.00    1.01    0.00   95.26
01:56:02     all    0.53    0.00    2.48    0.11    0.00    0.53    0.00    1.72    0.00   94.60
01:56:03     all    0.63    0.00    2.60    0.06    0.00    0.57    0.00    1.26    0.00   94.86
01:56:04     all    0.92    0.00    2.63    0.06    0.00    0.48    0.00    1.16    0.00   94.75
01:56:05     all    0.74    0.00    2.55    0.04    0.00    0.36    0.00    1.18    0.00   95.11
01:56:06     all    0.55    0.00    2.35    0.04    0.00    0.38    0.00    0.90    0.00   95.74
01:56:07     all    3.34    0.00    2.56    0.04    0.00    0.44    0.00    0.90    0.00   92.71
01:56:08     all    1.72    0.00    2.37    0.04    0.00    0.42    0.00    0.94    0.00   94.46
01:56:09     all    0.72    0.00    2.44    0.04    0.00    0.44    0.00    0.93    0.00   95.39
01:56:10     all    1.11    0.00    2.42    0.04    0.00    0.48    0.00    0.74    0.00   95.21
01:56:11     all    0.71    0.00    2.60    0.04    0.00    0.54    0.00    0.88    0.00   95.19
01:56:12     all    0.57    0.00    2.23    0.04    0.00    0.44    0.00    0.92    0.00   95.78
01:56:13     all    1.03    0.00    2.35    0.04    0.00    0.55    0.00    1.09    0.00   94.93
01:56:14     all    0.90    0.00    2.60    0.15    0.00    0.34    0.00    1.13    0.00   94.86
01:56:15     all    1.07    0.00    2.88    0.08    0.00    0.46    0.00    1.24    0.00   94.23
01:56:16     all    0.67    0.00    2.39    0.02    0.00    0.42    0.00    0.88    0.00   95.55
01:56:17     all    1.43    0.00    2.89    0.15    0.00    0.40    0.00    2.21    0.00   92.92
01:56:18     all    0.48    0.00    2.33    0.02    0.00    0.32    0.00    0.99    0.00   95.86
01:56:19     all    0.74    0.00    2.56    0.02    0.00    0.40    0.00    0.86    0.00   95.40
01:56:20     all    0.57    0.00    2.18    0.02    0.00    0.27    0.00    0.67    0.00   96.26
01:56:21     all    0.55    0.00    2.27    0.04    0.00    0.59    0.00    0.92    0.00   95.56
01:56:22     all    0.46    0.00    2.37    0.02    0.00    0.48    0.00    0.76    0.00   95.85
01:56:23     all    0.42    0.00    2.37    0.08    0.00    0.29    0.00    1.05    0.00   95.74
01:56:24     all    0.76    0.00    2.27    0.06    0.00    0.40    0.00    0.86    0.00   95.64
01:56:25     all    0.57    0.00    2.35    0.13    0.00    0.50    0.00    0.92    0.00   95.53
01:56:26     all    0.80    0.00    2.53    0.00    0.00    0.44    0.00    1.09    0.00   95.12
01:56:27     all    0.50    0.00    2.40    0.04    0.00    0.38    0.00    0.92    0.00   95.73
01:56:28     all    0.40    0.00    2.31    0.06    0.00    0.52    0.00    0.92    0.00   95.76
01:56:29     all    1.05    0.00    2.20    0.06    0.00    0.52    0.00    1.26    0.00   94.89
01:56:30     all    0.72    0.00    2.46    0.00    0.00    0.40    0.00    0.82    0.00   95.58
01:56:31     all    0.34    0.00    2.35    0.06    0.00    0.42    0.00    0.86    0.00   95.91
01:56:32     all    0.51    0.00    2.45    0.02    0.00    0.49    0.00    1.69    0.00   94.85
01:56:33     all    0.55    0.00    2.46    0.04    0.00    0.40    0.00    1.24    0.00   95.28
01:56:34     all    1.07    0.00    2.56    0.06    0.00    0.44    0.00    1.45    0.00   94.43
01:56:35     all    1.07    0.00    2.82    0.13    0.00    0.44    0.00    0.99    0.00   94.48
01:56:36     all    0.46    0.00    2.50    0.02    0.00    0.38    0.00    1.28    0.00   95.31
01:56:37     all    0.59    0.00    1.55    0.04    0.00    0.25    0.00    1.01    0.00   96.56
01:56:38     all    0.48    0.00    0.59    0.08    0.00    0.04    0.00    0.95    0.00   97.84
01:56:39     all    1.22    0.00    0.71    0.15    0.00    0.00    0.00    0.94    0.00   96.96
01:56:40     all    1.41    0.00    0.73    0.10    0.00    0.00    0.00    0.86    0.00   96.89
01:56:41     all    0.59    0.00    0.44    0.08    0.00    0.02    0.00    1.45    0.00   97.42
01:56:42     all    0.31    0.00    0.54    0.04    0.00    0.04    0.00    1.32    0.00   97.72
01:56:43     all    1.30    0.00    0.71    0.11    0.00    0.02    0.00    2.56    0.00   95.27
